Symbol	Trade Type	Entry DateTime	Exit DateTime	Entry Price	Exit Price	Trade Quantity	Max Open Quantity	Max Closed Quantity	Profit/Loss (P)	Cumulative Profit/Loss (P)	FlatToFlat Profit/Loss (P)	FlatToFlat Max Open Profit (P)	FlatToFlat Max Open Loss (P)	Max Open Profit (P)	Max Open Loss (P)	Entry Efficiency	Exit Efficiency	Total Efficiency	Commission (C)	High Price While Open	Low Price While Open	Note	Open Position Quantity	Close Position Quantity	Duration	Account
[Sim]ESU3.CME	Short	2023-08-16  12:06:36.668	2023-08-16  12:09:08.802	4449.25	4447.00	1	5	3	2.20	30.78	6.59	6.75	-0.00	2.25	-0.00	100.0%	32.5%	32.5%	2.66	4449.25	4447.00	2Targets5c_3out_2run.twconfig	5	2	00:02:32	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:06:36.668	2023-08-16  12:12:24.844 EP	4449.25	4444.25	2	5	5	9.89	40.67	16.48 F	19.75	-0.00	13.00	-0.00	100.0%	50.1%	50.1%	5.32	4449.25	4442.75	2Targets5c_3out_2run.twconfig	5	0	00:05:48	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:19:33.642 BP	2023-08-16  12:21:47.954	4441.75	4443.00	2	5	2	-2.61	38.06	-2.61	2.50	-3.00	2.50	-3.00	100.0%	7.2%	-47.4%	5.32	4443.25	4440.50	2Targets5c_3out_2run.twconfig	2	3	00:02:14	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:19:33.643	2023-08-16  12:21:47.954 EP	4441.75	4443.00	3	5	5	-3.91	34.15	-6.52 F	6.25	-7.50	3.75	-4.50	100.0%	26.1%	-28.4%	7.98	4443.25	4440.50	2Targets5c_3out_2run.twconfig	5	0	00:02:14	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:22:54.475 BP	2023-08-16  12:26:20.996	4442.75	4441.50	2	5	2	2.39	36.55	2.39	4.50	-1.00	4.50	-1.00	100.0%	61.7%	43.5%	5.32	4443.25	4440.50	2Targets5c_3out_2run.twconfig	2	3	00:03:26	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:22:54.475	2023-08-16  12:26:20.996 EP	4442.75	4441.50	3	5	5	3.59	40.14	5.98 F	11.25	-2.50	6.75	-1.50	100.0%	44.3%	26.1%	7.98	4443.25	4440.50	2Targets5c_3out_2run.twconfig	5	0	00:03:26	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:45:59.581 BP	2023-08-16  12:48:07.530	4446.00	4443.75	2	5	2	4.39	44.53	4.39	4.50	-0.50	4.50	-0.50	100.0%	97.9%	87.9%	5.32	4446.25	4443.75	2Targets5c_3out_2run.twconfig	2	3	00:02:07	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:45:59.582	2023-08-16  12:48:07.530	4446.00	4443.75	1	5	3	2.20	46.73	6.59	6.75	-0.75	2.25	-0.25	100.0%	39.3%	29.3%	2.66	4446.25	4443.75	2Targets5c_3out_2run.twconfig	5	2	00:02:07	Sim1
[Sim]ESU3.CME	Short	2023-08-16  12:45:59.582	2023-08-16  13:02:58.223 EP	4446.00	4443.50	2	5	5	4.89	51.62	11.48 F	17.25	-1.25	10.50	-0.50	100.0%	33.2%	26.5%	5.32	4446.25	4440.75	2Targets5c_3out_2run.twconfig	5	0	00:16:58	Sim1
[Sim]ESU3.CME	Short	2023-08-16  13:44:52.325 BP	2023-08-16  13:46:56.139	4443.25	4444.75	2	5	2	-3.11	48.52	-3.11	0.50	-3.00	0.50	-3.00	100.0%	-3.0%	-88.8%	5.32	4444.75	4443.00	2Targets5c_3out_2run.twconfig	2	3	00:02:03	Sim1
